type,horse,CO2,CO
Both,181,180.35,0.2664
Both,181,299.04,0.4665
Both,181,180.32,0.2484
Both,181,311.58,0.3514
Both,181,178.96,0.2612
Both,181,298.21,0.6426
Both,181,181.35,0.2636
Both,181,184.3283971,0.398889
Both,181,309.8485824,0.582147
Car,183,241.11,0.035
Car,183,241.11,0.035
Car,183,241.11,0.035
Car,183,241.11,0.035
Car,183,159.21,0.0254
Car,183,159.21,0.0254
Car,183,159.21,0.0254
Car,183,159.21,0.0254
Car,183,247.97,0.0848
Car,183,247.97,0.0848
Car,183,247.97,0.0848
Car,183,247.97,0.0848
Car,183,154.67,0.0078
Car,183,154.67,0.0078
Car,183,154.67,0.0078
Car,183,154.67,0.0078
Car,183,240.2,0.0386
Car,183,240.2,0.0386
Car,183,240.2,0.0386
Car,183,240.2,0.0386
Car,183,158.15,0.0087
Car,183,158.15,0.0087
Car,183,158.15,0.0087
Car,183,158.15,0.0087
Car,183,156,0.0086
Car,183,156,0.0086
Car,183,156,0.0086
Car,183,156,0.0086
Car,183,250.33,0.0477
Car,183,250.33,0.0477
Car,183,250.33,0.0477
Car,183,250.33,0.0477
Car,183,165.86,0.0083
Car,183,165.86,0.0083
Car,183,165.86,0.0083
Car,183,165.86,0.0083
Car,183,247.87,0.0385
Car,183,247.87,0.0385
Car,183,247.87,0.0385
Car,183,247.87,0.0385
Car,183,169.95,0.009
Car,183,169.95,0.009
Car,183,169.95,0.009
Car,183,169.95,0.009
Car,183,253.89,0.0482
Car,183,253.89,0.0482
Car,183,253.89,0.0482
Car,183,253.89,0.0482
Car,183,173.85,0.0105
Car,183,173.85,0.0105
Car,183,173.85,0.0105
Car,183,173.85,0.0105
Car,183,255.64,0.0324
Car,183,255.64,0.0324
Car,183,255.64,0.0324
Car,183,255.64,0.0324
Car,183,267.8,0.0319
Car,183,267.8,0.0319
Car,183,267.8,0.0319
Car,183,267.8,0.0319
Car,183,176.48,0.0095
Car,183,176.48,0.0095
Car,183,176.48,0.0095
Car,183,176.48,0.0095
Car,183,166.81,0.0092
Car,183,166.81,0.0092
Car,183,166.81,0.0092
Car,183,166.81,0.0092
Car,183,248.85,0.0259
Car,183,248.85,0.0259
Car,183,248.85,0.0259
Car,183,248.85,0.0259
Car,183,165.87,0.0109
Car,183,165.87,0.0109
Car,183,165.87,0.0109
Car,183,165.87,0.0109
Car,183,249.22,0.0283
Car,183,249.22,0.0283
Car,183,249.22,0.0283
Car,183,249.22,0.0283
Car,183,246.2729224,0.0281389
Car,183,246.2729224,0.0281389
Car,183,246.2729224,0.0281389
Car,183,246.2729224,0.0281389
Car,183,164.0993753,0.0073576
Car,183,164.0993753,0.0073576
Car,183,164.0993753,0.0073576
Car,183,164.0993753,0.0073576
Car,183,164.9278876,0.0076139
Car,183,164.9278876,0.0076139
Car,183,164.9278876,0.0076139
Car,183,164.9278876,0.0076139
Car,183,259.42,0.0232
Car,183,259.42,0.0232
Car,183,259.42,0.0232
Car,183,259.42,0.0232
Car,183,169.94,0.0122
Car,183,169.94,0.0122
Car,183,169.94,0.0122
Car,183,169.94,0.0122
Car,240,175.1535785,0.0682779
Car,240,303.5073054,0.3899787
Car,240,177.07,0.0183
Car,240,296.85,0.4167
Car,240,304.09,0.2266
Car,240,172.29,0.0309
Car,240,306.77,0.2572
Car,240,173.05,0.0236
Car,241,291.7086768,0.7633757
Car,241,177.2019934,0.2288419
Car,241,297.9622857,0.7160399
Car,241,176.5914764,0.3901552
Car,241,280.54,0.3084
Car,241,183.55,0.1934
Car,241,309.77,0.3291
Car,241,176.22,0.1518
Car,241,318.7,0.3709
Car,241,188.05,0.302
Car,241,301.14,0.376
Car,241,177.86,0.2305
Car,241,307.51,0.377
Car,241,182.22,0.1856
Car,240,306.26,0.2453
Car,240,179.75,0.0187
Car,240,311.44,0.2153
Car,240,178.98,0.0209
Car,240,311.84,0.2823
Car,240,188.36,0.0463
Car,240,188.64,0.0594
Car,240,313.4,0.3279
Car,241,296.84,0.438
Car,241,185.46,0.1828
Car,241,187.14,0.1724
Car,241,298.83,0.4623
Car,241,308.56,0.2942
Car,241,182.42,0.3013
Car,241,313.29,0.3371
Car,241,184.71,0.2451
Car,240,314.06,0.2224
Car,240,187.17,0.0771
Car,240,319.25,0.4814
Car,240,191.28,0.0823
Car,240,317.31,0.251
Car,240,192.3,0.0947
Car,240,328.68,0.3029
Car,240,194.53,0.0985
Both,241,312.82,0.5574
Both,241,192.89,0.322
Both,241,313.34,0.541
Both,241,193.01,0.3653
Both,181,330.03,0.5007
Both,181,194.06,0.3653
Both,181,329.87,0.5173
Both,181,193.97,0.3818
Both,181,329.73,0.4062
Both,181,195.29,0.2941
Both,181,310.12,0.5225
Both,181,197.57,0.2018
Both,181,308.27,0.4515
Both,181,193.74,0.3191
Both,181,322.1380716,0.6202872
Both,181,197.1832922,0.238689
Both,300,338.72,0.2915
Both,300,206.08,0.1221
Both,300,338.69,0.2532
Both,300,209.65,0.2434
Both,300,307.75,0.3462
Both,300,190.88,0.0234
Both,300,309.43,0.2256
Both,300,189.68,0.073
Both,300,310.05,0.4216
Both,300,194.75,0.1276
Both,300,305.98,0.3132
Both,300,335.85,0.2185
Both,300,193.83,0.5839
Both,300,332.07,0.1631
Both,300,193.91,0.6818
Both,300,352.79,0.2034
Both,300,224.21,0.4618
Both,300,353.7,0.2463
Both,300,222.32,0.5069
Both,300,213.1906215,0.5620555
Both,300,208.3904609,0.187488
Both,300,339.265242,0.2980816
Both,300,338.8763017,0.4148178
Both,300,351.6197516,0.3037014
Both,300,211.6153969,0.4694289
Both,300,341.5732327,0.583653
Both,300,356.0090979,0.323843
Both,300,211.6183135,0.6534987
Both,300,355.03,0.2248
Both,300,205.69,0.4421
Both,300,350.09,0.3632
Both,300,207,0.1272
Both,300,369.66,0.1846
Both,300,206.83,0.1908
Car,240,309.37,0.2168
Car,240,178.19,0.0455
Car,240,180.4173559,0.036429
Car,240,334.1311732,0.4921597
Car,240,312.82,0.1728
Car,240,184.55,0.0278
Car,240,328.05,0.1993
Car,240,186.85,0.0821
Car,240,323.42,0.3061
Car,240,191.71,0.0684
Car,240,337.68,0.2656
Car,240,189.66,0.0493
Car,240,333.22,0.2348
Car,240,192.29,0.0402
Car,240,342.98,0.2385
Car,240,197.98,0.0427
Both,181,318.73,0.7415
Both,181,180.4,0.167
Both,181,322.16,0.5754
Both,181,186.87,0.1918
Both,241,173.9148006,0.3390915
Both,241,281.1368699,0.5607935
Both,241,302.62,0.3501
Both,241,175.11,0.1877
Both,241,284.1055776,0.5329289
Both,241,176.9809913,0.1594961
Both,241,311.03,0.3733
Both,241,179.72,0.1757
Car,240,300.53,0.1749
Car,240,172.38,0.0197
Car,240,173.18,0.0437
Car,240,312.41,0.18
Car,240,173.08,0.0485
Car,240,309.7,0.3248
Car,240,182.58,0.0345
Car,240,321.47,0.2321
Car,240,183.93,0.0535
Both,241,302.74,0.4218
Both,241,187.57,0.2736
Both,241,319.55,0.5795
Both,241,183.78,0.5462
Both,241,307.18,0.4751
Both,241,191.73,0.7607
Both,241,321.4,0.4703
Both,241,190.18,0.5606
Car,240,308.63,0.1893
Car,240,308.63,0.1893
Car,240,184.45,0.0302
Car,240,184.45,0.0302
Car,240,321.19,0.2135
Car,240,321.19,0.2135
Car,240,184.37,0.0438
Car,240,184.37,0.0438
Car,240,314.87,0.1802
Car,240,314.87,0.1802
Car,240,188.54,0.0878
Car,240,188.54,0.0878
Car,240,327.04,0.2782
Car,240,327.04,0.2782
Car,240,189.11,0.0839
Car,240,189.11,0.0839
Both,300,342.41,0.0968
Both,300,199.79,0.1093
Both,300,342.26,0.1489
Both,300,198.94,0.0848
Both,300,350.84,0.158
Both,300,206.78,0.2176
Both,300,356.62,0.1218
Both,300,199.4,0.2854
Both,300,357.41,0.6268
Both,300,212.97,0.8367
Both,300,332.2,0.2999
Both,300,196.09,0.0974
Both,300,357.8711569,0.357433
Both,300,201.1570794,0.2172299
Both,300,328.13,0.3657
Both,300,194.16,0.1845
Both,300,347.07,0.108
Both,300,196.74,0.1846
Both,300,200.1706269,0.048678
Both,300,339.6815633,0.5061911
Both,300,350.01,0.3292
Both,300,200.74,0.2825
Both,300,368.85,0.559
Both,300,225.38,0.8299
Both,300,342.28,0.3584
Both,300,205.38,0.2671
Both,300,365.01,0.3593
Both,300,204.62,0.1338
Car,241,291.97,0.4221
Car,241,180.38,0.1918
Car,241,286.33,0.2597
Car,241,193.02,0.2951
Car,241,190.45,0.2907
Car,241,317.47,0.4451
Car,241,189.44,0.4416
Car,241,320.72,0.5772
Car,241,195.83,0.257
Car,241,302.1,0.4176
Car,241,190.65,0.2656
Car,241,325.44,0.5188
Car,241,191.38,0.3233
Car,255,304.08,0.0559
Car,255,304.08,0.0559
Car,255,304.08,0.0559
Car,255,304.08,0.0559
Car,255,191.29,0.0741
Car,255,191.29,0.0741
Car,255,191.29,0.0741
Car,255,191.29,0.0741
Car,255,314.48,0.0542
Car,255,314.48,0.0542
Car,255,314.48,0.0542
Car,255,314.48,0.0542
Car,255,189.47,0.0371
Car,255,189.47,0.0371
Car,255,189.47,0.0371
Car,255,189.47,0.0371
Car,255,303.01,0.0671
Car,255,303.01,0.0671
Car,255,303.01,0.0671
Car,255,303.01,0.0671
Car,255,185.21,0.0231
Car,255,185.21,0.0231
Car,255,185.21,0.0231
Car,255,185.21,0.0231
Car,255,300.42,0.0653
Car,255,300.42,0.0653
Car,255,300.42,0.0653
Car,255,300.42,0.0653
Car,255,179.58,0.0769
Car,255,179.58,0.0769
Car,255,179.58,0.0769
Car,255,179.58,0.0769
Car,255,307.45,0.0582
Car,255,307.45,0.0582
Car,255,307.45,0.0582
Car,255,307.45,0.0582
Car,255,195.67,0.037
Car,255,195.67,0.037
Car,255,195.67,0.037
Car,255,195.67,0.037
Car,255,302.13,0.0571
Car,255,302.13,0.0571
Car,255,302.13,0.0571
Car,255,302.13,0.0571
Car,255,322.24,0.0946
Car,255,322.24,0.0946
Car,255,322.24,0.0946
Car,255,322.24,0.0946
Car,255,194.44,0.1071
Car,255,194.44,0.1071
Car,255,194.44,0.1071
Car,255,194.44,0.1071
Car,255,303.2200016,0.1646116
Car,255,303.2200016,0.1646116
Car,255,303.2200016,0.1646116
Car,255,303.2200016,0.1646116
