type,horse,CO2,CO
Truck,255,220.38,0.0203
Truck,443,474.6,0.397
Truck,443,294.81,0.7151
Truck,443,501.86,0.2986
Truck,300,373.51,0.4161
Truck,300,236.2,0.0864
Truck,300,236.7764221,0.0484307
Truck,300,398.7159156,0.129875
Truck,300,243.589217,0.0470883
Truck,300,403.85,0.2509
Truck,300,253.94,0.0514
Truck,300,421.37,0.1896
Truck,300,392.45,0.2642
Truck,300,248.42,0.1122
Truck,300,420.99,0.3238
Truck,443,470.2,0.3674
Truck,443,297.51,0.8212
Truck,443,503.03,0.3078
Car,241,317.6040369,0.7359113
Car,241,190.6767543,1.0323182
Car,241,315.7339889,0.9460477
Car,241,185.4932276,1.1946684
Car,241,315.89,0.2602
Car,241,184.61,1.3347
Car,335,235.78,0.0213
Car,335,374.05,0.3351
Car,335,454.03,0.8258
Car,335,304.74,0.3749
Car,211,198.4124197,0.1287273
Car,211,295.1562901,0.3444921
Car,208,303.1,0.4417
Car,208,198.54,0.1616
Car,211,282.67,0.2714
Car,211,187.25,0.0588
Car,214,324.84,0.2986
Car,214,222.4813426,0.196047
Car,214,303.98,0.3061
Car,214,207.03,0.0879
Car,208,288.67,0.3071
Car,208,192.08,0.0537
Car,122,244.47,0.1086
Car,122,172.6,0.0663
Car,122,251.55,0.1154
Car,122,175.72,0.0966
Car,122,230,0.1797
Car,122,163.7,0.2395
Car,122,173.88,0.2903
Car,122,233.11,0.2326
Car,134,232.51,0.6237
Car,134,156.4,0.7529
Car,134,163.3399949,0.7708315
Car,134,239.0611064,0.5586518
Car,134,170.3531579,0.5644929
Car,134,254.5071058,0.3954029
Car,134,244.0599905,0.3814951
Car,134,167.6045486,0.3065727
Car,134,255.7502525,0.2987641
Car,134,167.528247,0.3333348
Car,134,236.57,0.3509
Car,134,156.15,0.2661
Car,122,194.0098079,0.1237557
Car,122,272.4884017,0.1995718
Car,122,189.787774,0.0494892
Car,122,276.0283064,0.236039
Car,122,250.75,0.1303
Car,122,173.74,0.0823
Car,122,176.57,0.3159
Car,122,238.18,0.2208
Car,122,245.08,0.2605
Car,122,169.65,0.2943
Car,122,210.72,0.1276
Car,122,275.82,0.1242
Car,122,194.28,0.1353
Car,122,258.39,0.256
Car,180,268.9,0.1755
Car,180,186.33,0.1493
Car,180,266.64,0.0875
Car,180,187.04,0.1074
Car,180,258.66,0.3269
Car,180,180.27,0.0804
Car,180,256.72,0.2504
Car,180,176.5,0.169
Car,189,190.98,0.1561
Car,189,262.1027269,0.1812102
Car,189,187.1839312,0.1556712
Car,189,276.6900218,0.1166004
Car,189,292.98,0.3193
Car,189,183.79,0.2832
Car,189,265.242842,0.2609874
Car,189,189.603197,0.1579598
Car,189,188.6236741,0.1669519
Car,189,280.0962293,0.1461507
Car,189,301.47,0.1478
Car,189,194.13,0.1729
Car,180,276.81,0.209
Car,180,192.63,0.204
Car,180,266.75,0.1787
Car,180,176.94,0.0543
Car,180,257.38,0.1957
Car,180,175.07,0.1063
Car,180,267.47,0.2201
Car,180,183.44,0.1208
Car,180,195.52,0.1199
Car,180,273.78,0.0841
Car,180,195.26,0.1866
Car,180,261.18,0.4982
Car,180,206.8516239,0.2931793
Car,180,296.1090042,0.2529046
Car,180,203.25,0.1854
Car,180,270.97,0.3237
Car,228,271.9708968,0.6582507
Car,228,207.8940123,0.3885797
Car,228,203.7413886,0.3338863
Car,228,275.79,0.3767
Car,228,194.47,0.3375
Car,228,305.99,0.5762
Car,228,205.32,0.7196
Car,1200,885,0.214
Car,1200,636,0.381
Car,1200,495,0.076
Car,1200,999,0.836
Car,1200,903,0.181
Car,237,325.32014,1.374337
Car,237,306.665,0.927917
Car,237,195.463375,0.2431506
Car,237,310.4171931,0.6886972
Car,237,274.8182762,0.7698978
Both,184,300.71133,0.419361
Both,184,170.69,0.148208
Both,184,300.12829,0.544855
Both,184,168.112,0.138247
Both,184,289.6457,0.744653
Both,184,162.443,0.197863
Both,184,160.968,0.109674
Both,184,284.79152,0.636861
Both,295,353.81205,0.567674
Both,295,193.722,0.034162
Both,295,192.449,0.035511
Both,295,372.5937564,0.3458688
Both,295,200.8907203,0.0105185
Both,295,385.4714,0.595102
Both,295,217.856,0.02195
Both,295,381.82446,0.68838
Both,295,218.721,0.019758
Both,295,359.61655,0.592963
Both,295,205.242,0.012756
Both,295,360.84485,0.452893
Both,295,206.65,0.014398
Car,359,490.51335,0.485903
Car,359,271.092,0.258241
Car,359,273.12,0.284927
Car,359,485.87842,0.59908
Car,292,370.22318,0.796228
Car,292,224.691,0.029764
Both,283,410.56653,0.363774
Both,283,250.166,0.028325
Both,283,413.62589,0.464863
Both,283,254.34,0.096965
Both,283,254.483,0.059867
Car,470,510.55036,0.687818
Car,470,281.842,0.44624
Car,470,476.38942,0.735385
Car,470,256.438,0.586166
Car,372,448.19372,0.606978
Car,372,253.891,0.169973
Car,372,250.826,0.150446
Car,370,474.54975,0.577011
Car,370,272.198,0.105689
Car,707,552.39543,0.884332
Car,707,451.583,0.836387
Car,707,319.409,0.301556
Car,707,551.29889,0.321324
Car,707,308.268,0.066985
Car,707,438.965,0.295442
Car,292,370.3176,0.417129
Car,292,205.615,0.05931
Car,292,197.456,0.040175
Car,292,359.58772,0.687117
Car,359,475.1244,0.447356
Car,359,258.709,0.244652
Car,292,233.399,0.093877
Car,292,386.03239,0.437932
Car,158,276.59398,0.819049
Car,158,276.7576,0.795943
Car,158,173.885,0.356564
Car,158,174.537,0.218101
Car,160,252.42547,0.654232
Car,160,170.973,0.19319
Car,160,251.5644,0.635011
Car,160,170.158,0.174383
Car,158,275.18603,0.349371
Car,158,171.526,0.484217
Car,158,275.79564,0.376888
Car,158,172.241,0.28718
Car,160,244.4832,0.643528
Car,160,156.6,0.14424
Car,160,156.6,0.18461
Car,160,244.77624,0.659421
Both,184,305.42522,0.235821
Both,184,189.079,0.068689
Both,184,301.18293,0.230771
Both,184,188.301,0.053957
Both,184,311.39393,1.408327
Both,184,200.783,0.287362
Both,184,313.72324,1.358472
Both,184,201.049,0.219911
Car,184,178.5453801,0.1027799
Car,184,311.2107469,0.6555284
Car,184,308.9534901,0.7392205
Both,184,293.52978,1.061693
Both,184,179.039,0.27185
Both,184,302.30642,1.151974
Both,184,182.341,0.330644
Truck,290,381.31731,0.371149
Truck,290,243.849,0.013023
Truck,290,375.10981,0.51036
Truck,290,238.933,0.052377
Truck,290,399.00969,0.347269
Truck,290,258.446,0.041898
Truck,290,395.03893,0.371715
Truck,290,256.199,0.035944
Truck,360,521.0953,0.741695
Truck,360,286.133,0.089502
Truck,360,283.127,0.091152
Car,100,251.08039,0.406564
Car,100,182.789,0.163578
Both,160,282.64718,0.828596
Both,160,193.197,0.816606
Car,160,192.2496321,0.4126897
Car,160,291.3358213,1.9801486
Car,160,269.57371,0.833685
Car,160,190.972,0.175946
Car,160,270.01731,0.971387
Car,160,191.085,0.522827
Both,160,313.90709,0.878057
Both,160,207.737,0.415917
Truck,184,339.48839,0.739362
Truck,184,233.278,0.274892
Truck,184,339.17983,1.001418
Truck,184,234.108,0.287355
Both,184,340.20712,0.715046
Both,184,211.04,0.068487
Truck,184,252.869,0.324081
Truck,184,255.018,0.300626
Truck,184,362.1362386,1.4673442
Both,184,338.70241,0.983863
Both,184,224.041,0.265306
Both,184,333.12217,0.844697
Both,184,224.901,0.270926
Both,271,346.99261,0.447089
Both,271,229.757,0.085207
Both,271,346.63366,0.440285
Both,271,228.423,0.083476
Both,271,387.8945463,0.3589612
Both,271,240.9523569,0.1735262
Both,271,382.3387339,0.4085681
Both,184,206.9866687,0.2258827
Both,184,326.2695587,0.8720848
Both,271,340.35304,0.252293
Both,271,219.886,0.023244
Both,271,339.33748,0.263504
Both,271,217.908,0.017224
Both,184,324.29538,0.68401
Both,184,193.09,0.133767
Both,184,321.68836,0.809592
Both,184,194.541,0.066494
Both,271,366.93647,0.274312
Both,271,243.311,0.02274
Both,271,367.29376,0.261549
Both,271,244.28,0.024463
Truck,172,340.22632,0.336966
Truck,172,236.161,0.144954
Truck,360,290.1,0.090654
Truck,360,507.89322,0.6376
Truck,172,359.7397,0.065104
Truck,172,359.7397,0.065104
Truck,172,359.7397,0.065104
Truck,172,238.769,0.004943
Truck,172,238.769,0.004943
Truck,172,238.769,0.004943
Truck,172,363.5842,0.061955
Truck,172,363.5842,0.061955
Truck,172,363.5842,0.061955
Truck,172,239.86,0.004854
Truck,172,239.86,0.004854
Truck,172,239.86,0.004854
Truck,290,377.9,0.34043
Truck,290,249,0.02564
Truck,290,268.2230611,0.0381171
Truck,290,421.9515798,0.3043297
Truck,360,531.4853879,0.7699529
Truck,360,319.9102261,0.1609687
Truck,172,384.45149,0.074655
Truck,172,384.45149,0.074655
Truck,172,384.45149,0.074655
Truck,172,379.14767,0.07027
Truck,172,379.14767,0.07027
Truck,172,379.14767,0.07027
Truck,172,259.406,0.003953
Truck,172,259.406,0.003953
Truck,172,259.406,0.003953
Truck,172,259.268,0.005007
Truck,172,259.268,0.005007
Truck,172,259.268,0.005007
Truck,470,563.07996,0.936018
Truck,470,343.854,0.25474
Truck,158,204.215,0.108792
Truck,158,300.2058,1.741527
Truck,158,214.56,0.287395
Truck,158,304.24011,2.003601
Truck,172,348.88845,0.778643
Truck,172,277.615,0.111091
Both,160,201.8611563,0.5318258
Both,160,290.5048957,1.1685666
Both,180,320.0806735,1.0683176
Both,180,206.2660626,0.3978624
Both,180,302.9025,0.564094
Both,180,297.09834,0.456391
Both,180,188.411,0.103748
Both,180,297.86191,0.501998
Both,180,188.072,0.152848
Both,160,276.08782,1.365259
Both,160,195.021,0.445722
Both,160,278.0666,1.132527
Both,160,194.168,0.605239
Both,180,331.5249654,1.1601631
Both,180,216.1570644,0.3685051
Both,180,218.3723264,0.5292589
Truck,290,447.34155,0.57661
Truck,290,318.829,0.125075
Truck,290,302.756,0.168523
Truck,290,426.39295,0.722352
Car,290,453.42397,0.876785
Car,290,309.365,0.140352
Truck,290,429.94932,0.850064
Truck,290,297.145,0.141971
Truck,290,250.108,0.191532
Truck,290,385.31775,0.725934
Truck,290,388.56779,0.901912
Truck,290,251.993,0.309748
Truck,290,420.18817,0.660282
Truck,290,257.66,0.030851
Truck,290,417.7078,0.554349
Truck,290,256.746,0.035587
Truck,390,300.852,0.178733
Truck,390,296.051,0.167113
Truck,390,481.19085,0.679864
Truck,390,476.22187,0.549944
Truck,390,292.585,0.22705
Truck,390,503.94486,0.712586
Truck,390,310.425,0.230738
Truck,390,311.998,0.268298
Truck,390,483.1826,0.534698
Truck,390,479.12308,0.581988
Truck,240,415.3,0.09296
Truck,240,415.3,0.09296
Truck,240,415.3,0.09296
Truck,240,413,0.07861
Truck,240,413,0.07861
Truck,240,413,0.07861
Truck,240,272.1,0.00064
Truck,240,272.1,0.00064
Truck,240,272.1,0.00064
Truck,240,273.9,0.0035
Truck,240,273.9,0.0035
Truck,240,273.9,0.0035
Truck,230,247.7275022,0.0129754
Truck,230,247.7275022,0.0129754
Truck,230,247.7275022,0.0129754
Truck,230,385.3712789,0.1675682
Truck,230,385.3712789,0.1675682
Truck,230,385.3712789,0.1675682
Truck,240,387.3,0.10002
Truck,240,387.3,0.10002
Truck,240,387.3,0.10002
Truck,240,386,0.08466
Truck,240,386,0.08466
Truck,240,386,0.08466
Truck,240,261.1,0.00443
Truck,240,261.1,0.00443
Truck,240,261.1,0.00443
Truck,240,261.1,0.00334
Truck,240,261.1,0.00334
Truck,240,261.1,0.00334
Truck,240,261.3457495,0.0098375
Truck,240,261.3457495,0.0098375
Truck,240,261.3457495,0.0098375
Truck,240,397.8850292,0.1013407
Truck,240,397.8850292,0.1013407
Truck,240,397.8850292,0.1013407
Both,184,334.4049683,0.8776347
Both,184,220.3503536,0.3165058
Car,640,614.21549,1.348739
Car,640,354.838,0.402376
Car,640,489.588,1.36513
Car,645,583.19676,1.138563
Car,645,314.95,1.16825
Car,645,445.913,2.36347
Car,558,514.92,0.248
Car,558,372.615,0.245
Car,558,496.3,0.189
Car,558,374.38,0.229
Car,558,366.231,0.424
Car,558,614.689,0.716
Car,558,364.293,0.294
Car,558,589.921,0.629
Car,553,448.891,0.308
Car,553,278.713,0.179
Car,553,421.772,0.368
Car,553,277.637,0.138
Car,553,466.559,0.27
Car,553,279.11,0.294
Car,553,437.378,0.294
Car,553,278.797,0.145
Car,725,596.476,0.705
Car,725,406.09,0.276
Car,725,577.186,0.75
Car,725,398.22,0.255
Car,725,667.14,0.658
Car,725,408.16,0.317
Car,725,632.11,0.902
Car,725,404.771,0.359
Car,652,628.71,0.505
Car,652,390.02,0.285
Car,652,596.198,0.579
Car,652,385.81,0.272
Car,652,708.95,0.502
Car,652,389.168,0.22
Car,652,385.06,0.226
Car,652,670.92,0.58
Car,141,172.8648383,0.2640784
Car,141,161.3825111,0.6753526
Car,141,169.7150958,0.1932374
Car,141,154.5939573,0.4081054
Truck,325,383.191,0.359697
Truck,325,235.96,0.0821658
Truck,245,210.576,0.225503
Truck,245,335.289,0.830504
Truck,280,392.557,1.0657
Truck,280,239.812,0.0647708
Truck,325,414.253,0.404421
Truck,325,278.646,0.442083
Truck,325,408.341,0.398052
Truck,325,265.211,0.199778
Truck,245,351.947,0.606644
Truck,245,223.314,0.115168
Truck,237,322.856,0.695226
Truck,237,212.614,0.397889
Truck,365,497.043,0.540442
Truck,365,353.713,0.146573
Truck,365,453.336,0.581128
Truck,365,290.075,0.532493
Truck,365,486.871,0.671991
Truck,365,313.727,0.457357
Truck,365,498.452,0.580394
Truck,365,328.879,0.358555
Truck,365,488.438,0.706014
Truck,365,314.934,0.298827
Truck,365,476.729,0.576867
Truck,365,301.173,0.175746
Truck,365,500.198,0.741684
Truck,365,319.515,0.141142
Truck,365,479.541,0.307774
Truck,365,319.007,0.0690141
Truck,365,497.25,0.507888
Truck,365,330.457,0.146214
Truck,287,279.511,0.186507
Truck,287,429.938,0.433832
Truck,287,409.736,0.374885
Truck,287,269.556,0.169357
Truck,237,389.958,0.529654
Truck,237,275.824,0.201059
Truck,287,397.136,0.292742
Truck,287,248.719,0.167259
Truck,287,413.648,0.620037
Truck,287,262.806,0.293604
Truck,300,452.945,1.14662
Truck,300,308.731,0.725147
Truck,300,435.9,0.853787
Truck,300,294.739,0.6523
Truck,325,368.207,0.54516
Truck,325,250.065,0.0872127
Truck,282,259.622,0.01514
Truck,282,364.012,0.24914
Truck,282,384.329,0.416214
Truck,282,250.2653,0.02623
Truck,282,422.43,0.380078
Truck,282,287.752,0.0168261
Truck,282,400.6605,0.33771
Truck,282,271.9015,0.02243
Truck,282,403.944,0.435827
Truck,282,278.499,0.0089947
Truck,282,267.0792,0.02016
Truck,282,386.3671,0.386
Truck,365,260.717,0.0116595
Truck,365,396.625,0.321264
Truck,365,412.82,0.373729
Truck,365,267.651,0.0336899
Truck,325,359.453,1.18138
Truck,325,242.839,0.111739
Truck,365,428.204,0.587808
Truck,365,281.769,0.0334059
Truck,325,274.355,0.222975
Truck,325,394.094,0.373042
Truck,385,449.71,0.82609
Truck,385,288.43,0.0167915
Truck,385,435.2212,0.1975
Truck,385,271.6875,0.0165
Truck,385,468.016,0.523483
Truck,385,271.0894,0.01591
Truck,385,286.906,0.0196777
Truck,385,436.6978,0.24236
Truck,385,476.515,0.896645
Truck,385,436.8153,0.20436
Truck,385,271.8447,0.02264
Truck,385,286.306,0.0153709
Truck,385,509.07,0.950818
Truck,385,345.682,0.0623574
Truck,385,480.6433,0.1784
Truck,385,327.4232,0.0327
Truck,385,484.186,0.726044
Truck,385,306.406,0.0165455
Truck,385,460.366,0.2774
Truck,385,286.3655,0.0214
Car,120,174.5,0.299
Car,120,248.44,0.60656
Car,120,170.5934991,0.1146615
Car,120,252.7136641,0.3059481
Car,120,211.616,1.33556
Car,120,143.701,0.828796
Car,120,213.643,1.2631
Car,285,396.465,0.513089
Car,285,251.855,0.189911
Car,355,464.061,0.150387
Car,355,296.377,0.0158718
Car,355,444.194,0.313691
Car,355,284.33,0.0273608
Car,160,239.9845,0.35788
Car,160,255.429,0.993715
Car,160,148.0657,0.25364
Car,160,154.45,0.459812
Car,160,160.996,0.007419
Car,160,253.258,0.0913794
Car,123,222.199,0.653646
Car,123,147.314,0.149402
Car,123,157.5391172,0.1780238
Car,123,232.7277223,0.9671118
Car,141,152.0873189,0.2838148
Car,141,146.3079723,0.6947131
Car,237,322.75,0.541343
Car,237,201.969,0.160824
Car,169,192.117,0.245417
Car,169,310.604,0.681343
Car,169,292.213,0.513588
Car,169,170.441,0.146074
Car,169,277.468,0.684535
Car,169,167.989,0.20993
Car,141,175.157,0.362153
Car,141,175.807,0.432954
Car,300,379.535697,0.2237914
Car,300,230.0535454,0.0078516
Car,420,472.258,0.466587
Car,420,252.755,0.0305195
Car,420,381.253,0.407701
Car,420,594.838,0.496896
Car,300,405.87,0.677565
Car,300,222.514,0.0158798
Car,310,326.017,0.128921
Car,310,197.652,0.0163024
Car,310,340.931,0.182652
Car,310,209.372,0.0166261
Car,310,312.74,0.356734
Car,310,200.53,0.035951
Car,420,449.211,0.372354
Car,420,255.72,0.0766771
Car,420,452.871,0.242918
Car,420,258.174,0.0337064
Car,420,263.098,0.0397037
Car,420,456.929,0.357206
Car,420,472.035,0.457076
Car,420,275.103,0.0398581
Car,420,470.856,0.392967
Car,420,462.366,0.395652
Car,420,273.275,0.0501615
Car,420,266.018,0.0328206
Car,420,471.159,0.623999
Car,420,283.077,0.0776672
Car,420,479.84,0.562149
Car,420,284.021,0.0440759
Car,300,389.767,0.376985
Car,300,242.263,0.0202949
Car,526,528.212,0.790635
Car,526,307.835,0.156657
Car,526,505.809,0.800086
Car,526,293.522,0.0654087
Car,237,344.826,0.76132
Car,237,212.181,0.275069
Truck,270,500.422,1.70023
Truck,270,334.457,2.07838
Truck,270,327.6542328,0.5755655
Truck,270,503.4224765,0.9984895
Truck,270,372.751,1.0226
Truck,270,352.1613,1.06
Truck,270,509.254,1.38042
Truck,270,489.5341,1.2005
Truck,365,348.759,2.49966
Truck,365,509.257,2.08644
Car,365,418.769,0.121254
Car,365,255.853,0.009722
Car,285,365.753,0.482212
Car,285,224.595,0.211986
Car,365,449.629,0.142748
Car,365,281.4,0.0103533
Car,365,458.477,0.151499
Car,365,283.601,0.0327049
Car,305,256.32,0.509372
Car,305,388.877,0.921254
Car,305,241.5857,0.6167
Car,305,363.3,0.481
Car,285,389.431,0.352703
Car,285,237.695,0.201777
Car,285,387.194,0.300159
Car,285,240.736,0.284132
Truck,170,213.315,0.282195
Truck,170,312.685,0.62188
Truck,170,323.243,0.806446
Truck,170,214.363,0.284286
Truck,170,313.495,0.714563
Truck,170,211.283,0.250682
Truck,170,315.927,0.776311
Truck,169,335.514,1.4937
Truck,169,222.258,0.538961
Truck,168,223.088,0.657952
Truck,168,346.003,1.1696
Truck,168,227.421,0.742012
Truck,168,228.281,0.767567
Truck,168,356.718,1.24751
Car,304,370.595,0.406686
Car,304,224.927,0.26643
Car,237,343.419,0.638568
Car,237,227.436,0.217102
Truck,305,400.863,0.508393
Truck,305,246.504,0.237316
Truck,380,485.098,0.464543
Truck,380,325.557,0.268899
Truck,380,493.4242136,0.5047071
Truck,380,337.8855667,0.2178917
Both,255,411.4,0.19273
Both,255,230.8,0.07628
Car,182,173.6,0.5940324
Car,182,173.6,0.5940324
Car,182,282.1,1.3470479
Car,182,282.1,1.3470479
Both,303,414.936,0.265211
Both,303,241.91,0.101043
Both,303,419.2,0.265211
Both,303,246.2,0.101043
Both,182,361.136,0.390079
Both,182,202.626,0.10784
Car,260,371.8,0.78
Car,260,234.5,0.18
Car,250,203.4610451,0.095313
Car,250,345.4409391,0.6593072
Both,182,329.619,0.913989
Both,182,196.609,0.249242
Car,550,513.7,0.74302
Car,550,344.5,0.50605
Car,272,364.085,0.418046
Car,272,212.945,0.0735885
Car,272,376.6,0.418046
Car,272,222.2,0.0735885
Car,272,344.5,0.235105
Car,272,229.6,0.272129
Car,272,228.5,0.0653726
Car,272,329.1,0.235105
Car,272,214.7,0.272129
Car,272,213.6,0.0653726
Car,272,339.2,0.235105
Car,272,222.7,0.272129
Car,272,221.6,0.0653726
Car,272,343.1,0.235105
Car,272,221.1,0.272129
Car,272,220,0.0653726
Car,196,330.5084051,0.4211545
Car,196,193.6831587,0.237784
Car,196,329.2735399,0.6070358
Both,301,385.453,0.2996
Both,301,227.832,0.053124
Car,272,344.171,0.434334
Car,272,209.053,0.190457
Car,420,268.523,0.167506
Car,420,456.822,0.655264
Both,301,384.7,0.547747
Both,301,221.1,0.132
Both,301,384.7,0.560081
Both,301,240.2,0.157106
Car,556,614.987,0.910439
Car,556,614.987,0.910439
Car,556,364.68,0.337493
Car,556,364.68,0.337493
Truck,425,479.977,0.321635
Truck,425,293.944,0.126504
Truck,425,485.6,0.321635
Truck,425,303.3,0.126504
Truck,425,491.424,0.462361
Truck,425,308.362,0.206456
Truck,425,493.7,0.462361
Truck,425,310.7,0.206456
Both,280,417.204,0.50005
Both,280,255.981,0.03267
Both,280,448.284,0.591973
Both,280,272.241,0.258372
Both,280,399.832,0.43843
Both,280,247.172,0.02565
Both,280,411.814,0.724778
Both,280,259.343,0.0527863
Both,280,457.828,0.573017
Both,280,283.732,0.0669483
Both,280,279.432,0.0412553
Both,280,436.361,0.812804
Car,303,422.811,0.21689
Car,303,263.328,0.0688617
Car,303,319.301,0.326195
Car,303,570.273,0.90464
Car,303,510.4271188,0.5888181
Car,303,319.6465493,0.1751974
Car,410,448.201,0.296727
Car,410,268.16,0.0039214
Car,303,489.612,0.235266
Car,303,308.198,0.0967106
Car,303,465.3,0.235266
Car,303,287.6,0.0967106
Both,304,396.7,0.12439
Both,304,234.5,0.03547
Both,304,437.8,0.12439
Both,304,257.6,0.03547
Both,304,422.989,0.13092
Both,304,228.168,0.06436
Car,420,451.1,0.95193
Car,420,264.5,0.0797
Car,420,472.7,0.95193
Car,420,279.5,0.0797
Car,420,451.1,1.42214
Car,420,253.9,0.277
Both,182,316.042,0.57432
Both,182,197.151,0.18273
Both,182,309.317,0.6285
Both,182,197.294,0.07378
Both,182,348.5,0.48847
Both,182,222.7,0.2938
Both,182,348.5,0.48847
Both,182,222.7,0.2938
Both,182,339.2,0.69817
Both,182,219.4,0.19453
Both,182,339.2,0.69817
Both,182,219.4,0.19453
Truck,425,490.367,0.41587
Truck,425,309.321,0.423114
Truck,345,442.1,0.705
Truck,345,279.5,0.191
Truck,345,425.3,0.301475
Truck,345,265.6,0.0540068
Truck,345,451.1,0.705
Truck,345,275.1,0.191
Truck,345,434.1,0.301475
Truck,345,261.2,0.0540068
Truck,345,448.8,0.705
Truck,345,289.5,0.191
Truck,345,431.2,0.301475
Truck,345,274.9,0.0540068
Truck,345,444.4,0.705
Truck,345,283,0.191
Truck,345,428.2,0.301475
Truck,345,269,0.0540068
Truck,345,442.1,0.705
Truck,345,279.5,0.191
Truck,345,451.1,0.705
Truck,345,275.1,0.191
Truck,345,448.8,0.705
Truck,345,289.5,0.191
Car,304,379.669,0.12439
Car,304,212.396,0.03547
Car,556,633.583,0.758591
Car,556,371.042,0.0741824
Car,556,612.9,0.758591
Car,556,356.9,0.0741824
Car,556,612.9,0.758591
Car,556,356.9,0.0741824
Car,400,499.224,1.05105
Car,400,295.091,0.0990138
Car,505,551.568,0.825072
Car,505,334.453,0.419132
Both,280,393.576,0.183796
Both,280,247.409,0.0264451
Both,280,391.223,0.34933
Both,280,242.376,0.01602
Car,356,491,0.675931
Car,356,279.5,0.306934
Car,356,419.2,1.06004
Car,356,469.8,0.309
Car,356,267.9,0.0750345
Car,425,511.959,0.532277
Car,425,304.335,0.0353316
Truck,194,366.131,0.448224
Truck,194,244.632,1.2061
Truck,194,352.943,0.984693
Truck,194,237.154,0.945613
Truck,300,389.91,0.614068
Truck,300,248.148,0.752334
Truck,194,252.885387,3.8816193
Truck,194,381.4741024,1.404827
Truck,300,406.895,0.709379
Truck,300,263.735,0.890529
Truck,300,481.675,0.824232
Truck,300,366.787,0.934811
Car,450,421.225,0.830518
Car,450,232.981,0.250839
Car,450,405.219,0.842192
Car,450,405.219,0.842192
Car,450,210.114,0.388863
Car,450,210.114,0.388863
Car,455,444.07,0.622451
Car,455,214.148,0.341189
Car,455,220.376,0.327144
Car,650,481.547,0.676901
Car,650,295.16,0.551761
Car,650,467.143,0.477423
Car,650,279.322,0.294588
Car,650,538.557,0.521715
Car,650,299.183,0.250977
Car,138,243.361,0.138725
Car,138,147.103,0.211326
Car,138,263.7,0.138725
Car,138,166.1,0.211326
Car,140,179.8427335,0.4630998
Car,140,311.466212,0.37103
Car,138,171.521,0.29045
Car,138,277.32,0.279803
Car,148,153.9586364,0.0079786
Car,148,153.9586364,0.0079786
Car,148,153.9586364,0.0079786
Car,148,292.3471281,0.2400265
Car,148,292.3471281,0.2400265
Car,148,292.3471281,0.2400265
Car,148,152.5160134,0.0069132
Car,148,152.5160134,0.0069132
Car,148,152.5160134,0.0069132
Car,140,266.9,0.133294
Car,140,166.4,0.311303
Car,140,266.9,0.193884
Car,140,166.1,0.818007
Car,140,263.7,0.133294
Car,140,161.9,0.311303
Car,140,263.7,0.193884
Car,140,161.6,0.818007
Both,308,429.3,0.7541638
Both,308,256.1,0.0873996
Both,308,270.1017655,0.0873996
Both,308,448.6408471,0.7541638
Both,182,313.887,0.288
Both,182,202.82,0.06446
Both,182,333.935,0.20314
Both,182,203.609,0.11816
Truck,280,645.137,1.37525
Truck,280,387.664,0.40125
Truck,280,678.4,1.37525
Truck,280,402.1,0.40125
Truck,323,409.5,2.16998
Truck,323,662.6,1.31104
Truck,323,398.4,0.08172
Truck,323,678.4,3.3755
Truck,323,409.5,2.16998
Truck,323,678.4,3.3755
Truck,323,691.8,1.06791
Truck,323,411.4,0.26553
Truck,323,716.7,3.03841
Truck,323,429.3,1.99919
Both,280,396.86,0.0644535
Both,280,367.715,0.90297
Both,280,213.308,0.0356616
Both,280,199.424,0.01789
Both,280,417.2,0.0644535
Both,280,391,0.90297
Both,280,229.6,0.0356616
Both,280,216.3,0.01789
Car,305,375.564,0.387337
Car,305,220.689,0.0903113
Both,305,357.962,0.144732
Both,305,216.663,0.0469082
Truck,285,430.344,0.474675
Truck,285,287.903,0.224579
Truck,285,430.667,0.42595
Truck,285,290.121,0.181034
Truck,285,403.5,0.42595
Truck,285,270.2,0.181034
Truck,285,396.7,0.474675
Truck,285,266.1,0.224579
Truck,285,414.1,0.42595
Truck,285,274.9,0.181034
Truck,285,405.8,0.474675
Truck,285,270.1,0.224579
Truck,285,431.2,0.42595
Truck,285,282.3,0.181034
Truck,285,423.2,0.474675
Truck,285,277.7,0.224579
Truck,285,425.2,0.474675
Truck,285,289.5,0.224579
Truck,285,431.2,0.42595
Truck,285,295.5,0.181034
Truck,285,480.831,0.532304
Truck,285,306.872,0.180324
Truck,285,460.367,0.25638
Truck,285,296.37,0.120687
Truck,345,285.423,0.188936
Truck,345,454,0.698
Truck,345,433.659,0.301475
Truck,345,266.808,0.0540068
Truck,345,285.423,0.188936
Truck,345,454,0.698
Truck,345,476.9,0.369903
Truck,345,296.9,0.199175
Truck,345,472.7,0.440952
Truck,345,295.2,0.0991138
Truck,345,460.5,0.439127
Truck,345,293.3,0.0930089
Truck,345,472.7,0.440952
Truck,345,295.2,0.0991138
Truck,345,460.5,0.439127
Truck,345,293.3,0.0930089
Truck,345,285.423,0.188936
Truck,345,454,0.698
Truck,345,437.22,0.299777
Truck,345,269.744,0.0718379
Truck,345,293.3,0.188936
Truck,345,460.5,0.698
Truck,345,449.6,0.299777
Truck,345,279.8,0.0718379
Truck,345,290.4,0.188936
Truck,345,458.1,0.698
Truck,345,446.5,0.299777
Truck,345,277.3,0.0718379
Truck,345,293.3,0.188936
Truck,345,460.5,0.698
